order_id,customer_id,vendor_id,status,gross_amount,currency,created_at,updated_at,_ingested_at
ORD-000001,,,Kano,,,2023-10-10 22:31:55+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000002,CUST-00562,,Kaduna,,,2023-05-07 16:14:42+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000005,CUST-00642,,PH,,,2023-08-26 22:20:00+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000007,CUST-00607,,Kaduna,,,2023-11-28 10:42:41+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000008,CUST-00359,,Kaduna,,,2023-03-24 04:49:00+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000013,CUST-00779,,Lagos,,,2023-03-31 12:46:13+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000015,CUST-00703,,Kaduna,,,2023-12-01 15:50:24+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000017,CUST-00678,,PH,,,2023-06-24 22:59:55+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000024,CUST-00666,,Lagos,,,2023-12-04 18:11:40+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000027,CUST-00589,,Kano,,,2023-12-16 23:52:50+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000029,,,PH,,,2023-07-26 03:54:09+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000036,CUST-00134,,Kano,,,2023-06-15 17:43:43+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000038,CUST-00386,,Kano,,,2023-12-24 21:21:08+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000042,,,Kano,,,2023-10-17 15:24:17+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000045,CUST-00673,,Kano,,,2023-12-23 11:47:27+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000047,CUST-00757,,Kaduna,,,2023-10-25 13:05:36+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000051,,,Abuja,,,2023-09-28 07:51:40+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000053,CUST-00341,,Kaduna,,,2023-01-17 21:46:12+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000054,,,Abuja,,,2023-09-03 08:12:17+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000059,,,Kano,,,2023-12-13 03:48:48+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000064,,,PH,,,2023-05-30 04:32:09+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000067,,,PH,,,2023-02-27 20:13:39+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000069,CUST-00231,,Kaduna,,,2023-07-24 01:48:07+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000072,CUST-00181,,Abuja,,,2023-07-05 10:08:33+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000083,CUST-00053,,Kano,,,2023-03-20 23:14:08+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000085,CUST-00594,,Lagos,,,2023-06-30 23:28:21+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000089,CUST-00653,,Lagos,,,2023-09-23 15:43:48+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000095,CUST-00079,,Abuja,,,2023-07-11 12:14:53+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000096,,,PH,,,2023-05-10 00:29:19+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000102,CUST-00469,,Lagos,,,2023-10-20 04:10:54+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000104,CUST-00576,,Abuja,,,2023-04-23 04:08:06+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000108,CUST-00276,,Lagos,,,2023-12-23 19:32:42+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000113,CUST-00644,,Abuja,,,2023-10-28 09:10:27+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000114,CUST-00675,,Kaduna,,,2023-05-17 12:32:58+00:00,,2026-02-23 15:21:07.788192+00:00
ORD-000116,CUST-00524,,Kaduna,,,2023-09-30 13:20:57+00:00,,2026-02-23 15:21:07.788192+00:00
