payment_id,order_id,vendor_id,status,amount,currency,payment_method,attempted_at,_ingested_at
c4053eb394bd,ORD-000444,unknown,,,,,2023-12-26 22:44:47+00:00,2026-02-23 16:33:02.547747+00:00
86e5e0a49e48,ORD-000977,unknown,,,,,2023-06-30 12:44:44+00:00,2026-02-23 16:33:02.547747+00:00
6fa348ef20a8,ORD-000794,unknown,,,,,2023-07-07 12:27:01+00:00,2026-02-23 16:33:02.547747+00:00
3c928a8539c0,ORD-000722,unknown,,,,,2023-05-17 06:48:03+00:00,2026-02-23 16:33:02.547747+00:00
f216ffe6b7c8,ORD-000377,unknown,,,,,2023-04-15 18:26:09+00:00,2026-02-23 16:33:02.547747+00:00
07f8f2c45d16,ORD-001007,unknown,,,,,2023-09-06 08:07:28+00:00,2026-02-23 16:33:02.547747+00:00
df2fb7a563b3,ORD-000048,unknown,,,,,2023-09-14 22:15:26+00:00,2026-02-23 16:33:02.547747+00:00
a233a2615dc4,ORD-000388,unknown,,,,,2023-08-23 20:28:28+00:00,2026-02-23 16:33:02.547747+00:00
848f5c30d1b2,ORD-000354,unknown,,,,,2023-09-10 21:42:03+00:00,2026-02-23 16:33:02.547747+00:00
2fa81fc4f805,ORD-000490,unknown,,,,,2023-11-04 19:36:51+00:00,2026-02-23 16:33:02.547747+00:00
7ad5e12b9c27,ORD-000427,unknown,,,,,2023-09-08 20:36:31+00:00,2026-02-23 16:33:02.547747+00:00
760ce69ca358,ORD-000575,unknown,,,,,2023-09-12 11:59:29+00:00,2026-02-23 16:33:02.547747+00:00
21c95cd2466e,ORD-000853,unknown,,,,,2023-03-25 19:43:17+00:00,2026-02-23 16:33:02.547747+00:00
c32afb036afa,ORD-000516,unknown,,,,,2023-04-05 16:53:37+00:00,2026-02-23 16:33:02.547747+00:00
c103c9060483,ORD-000645,unknown,,,,,2023-09-04 14:02:04+00:00,2026-02-23 16:33:02.547747+00:00
8c34d30d717c,ORD-000600,unknown,,,,,2023-02-01 03:57:23+00:00,2026-02-23 16:33:02.547747+00:00
522eca42b219,ORD-000342,unknown,,,,,2023-04-10 22:28:18+00:00,2026-02-23 16:33:02.547747+00:00
89d4c61b6ff3,ORD-000858,unknown,,,,,2023-03-30 09:03:01+00:00,2026-02-23 16:33:02.547747+00:00
c7faa50229e6,ORD-000741,unknown,,,,,2023-06-21 11:40:09+00:00,2026-02-23 16:33:02.547747+00:00
7704c33f7bf1,ORD-000679,unknown,,,,,2023-08-18 07:34:48+00:00,2026-02-23 16:33:02.547747+00:00
