refund_id,order_id,payment_id,vendor_id,amount,currency,reason,refunded_at,_ingested_at
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,25000.0,NGN,damaged,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,4000.0,USD,customer_request,,2026-02-23 16:33:03.143880+00:00
c5a4250662a8bafb799b22f4cbc3d630,ORD-000462,,unknown,,,,2023-12-03 21:08:16+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,4000.0,NGN,customer_request,,2026-02-23 16:33:03.143880+00:00
83f2ebc48ac47b4f3a8568ee1b6f6a26,ORD-000154,,unknown,,,,2023-05-31 17:58:46+00:00,2026-02-23 16:33:03.143880+00:00
c19527de954d2fc313b5b6536172eaa8,ORD-000074,,unknown,,,,2023-07-12 08:49:14+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,duplicate,,2026-02-23 16:33:03.143880+00:00
0fc561fc3dcdbd576821135df9412db9,ORD-000424,,unknown,,,,2023-01-11 13:43:52+00:00,2026-02-23 16:33:03.143880+00:00
9ef6902391dc91732edb47ecd9e79fb7,ORD-000074,,unknown,,,,2023-11-24 10:06:09+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,12000.0,NGN,customer_request,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,10500.0,NGN,damaged,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,late_delivery,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,duplicate,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,customer_request,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,duplicate,,2026-02-23 16:33:03.143880+00:00
a02d0719e0b15bae3fe5669663f503ad,ORD-000249,,unknown,,,,2023-06-01 23:26:50+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,,,damaged,,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,2500.0,NGN,customer_request,,2026-02-23 16:33:03.143880+00:00
61e10d0c720e835266de22c155b0e70f,ORD-000195,,unknown,,,,2023-05-16 04:07:38+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,25000.0,NGN,duplicate,,2026-02-23 16:33:03.143880+00:00
522b6688c7906558fd2d6f57c8e8ddb5,ORD-000799,,unknown,,,,2023-07-03 18:10:28+00:00,2026-02-23 16:33:03.143880+00:00
2ed831d249f22a45bdba80d09c971cd9,ORD-000193,,unknown,,,,2023-09-09 11:09:55+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,9000.0,NGN,damaged,,2026-02-23 16:33:03.143880+00:00
578cc49cfae4e4ee44cac89bca670e90,ORD-001000,,unknown,,,,2023-10-20 01:53:55+00:00,2026-02-23 16:33:03.143880+00:00
a631fbf96496423c90d23cb59d919238,ORD-000606,,unknown,,,,2023-03-26 14:48:55+00:00,2026-02-23 16:33:03.143880+00:00
21d6b0991433302952223389004ee758,ORD-001194,,unknown,,,,2023-04-29 10:54:01+00:00,2026-02-23 16:33:03.143880+00:00
32077e33a08c1e9ba02bbdabfe645c24,,,unknown,9000.0,NGN,damaged,,2026-02-23 16:33:03.143880+00:00
