shipment_id,order_id,vendor_id,status,carrier,dispatched_at,delivered_at,_ingested_at
TRK-a8dd765c303a,,unknown,DELIVERED,FedEx,2023-03-05 13:44:39+00:00,2023-03-08 04:44:00+00:00,2026-02-23 16:33:03.464568+00:00
TRK-66f5518549f0,,unknown,CREATED,Kwik,2023-09-14 00:57:16+00:00,,2026-02-23 16:33:03.464568+00:00
415622307,,unknown,,GIG,,,2026-02-23 16:33:03.464568+00:00
308439479,,unknown,,Local,,,2026-02-23 16:33:03.464568+00:00
TRK-42186b0c08c1,,unknown,DELIVERED,Kwik,2023-05-04 09:39:46+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-4f1928ad39c1,,unknown,IN_TRANSIT,GIG,2023-11-14 17:13:47+00:00,,2026-02-23 16:33:03.464568+00:00
922134488,,unknown,,Kwik,,,2026-02-23 16:33:03.464568+00:00
701493999,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-0f9448d5db2d,,unknown,CREATED,Local,2023-03-14 18:12:40+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-3d13a7aaaf08,,unknown,CREATED,Kwik,2023-06-01 09:17:39+00:00,,2026-02-23 16:33:03.464568+00:00
172052215,,unknown,,Kwik,,,2026-02-23 16:33:03.464568+00:00
TRK-537a7a1193a9,,unknown,IN_TRANSIT,GIG,2023-08-13 19:09:22+00:00,,2026-02-23 16:33:03.464568+00:00
299318337,,unknown,,GIG,,,2026-02-23 16:33:03.464568+00:00
238358840,,unknown,,Kwik,,,2026-02-23 16:33:03.464568+00:00
TRK-75a0f6e19970,,unknown,CREATED,DHL,2023-08-03 05:25:31+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-5a3f667f9b39,,unknown,IN_TRANSIT,Kwik,2023-01-18 06:40:47+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-4ab19d8a2856,,unknown,IN_TRANSIT,FedEx,2023-02-15 11:50:06+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-73c560fc1607,,unknown,CREATED,GIG,2023-03-27 20:14:27+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-3d0e841e5465,,unknown,DELIVERED,GIG,2023-06-06 20:49:02+00:00,,2026-02-23 16:33:03.464568+00:00
192822736,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-d13a5eab1051,,unknown,DELIVERED,Kwik,2023-06-14 19:52:39+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-3dc5cadb2961,,unknown,IN_TRANSIT,Kwik,2023-01-07 09:48:10+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-faa98a9053f7,,unknown,CREATED,DHL,2023-10-28 08:10:01+00:00,,2026-02-23 16:33:03.464568+00:00
455244324,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-95d35b09de45,,unknown,DELIVERED,Kwik,,,2026-02-23 16:33:03.464568+00:00
173899194,,unknown,,Kwik,,,2026-02-23 16:33:03.464568+00:00
TRK-96220b616006,,unknown,PICKED_UP,Kwik,,,2026-02-23 16:33:03.464568+00:00
899776651,,unknown,,Local,,,2026-02-23 16:33:03.464568+00:00
TRK-6012302f2e96,,unknown,IN_TRANSIT,DHL,2023-06-26 09:44:11+00:00,,2026-02-23 16:33:03.464568+00:00
190153750,,unknown,,Local,,,2026-02-23 16:33:03.464568+00:00
408724834,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-5f095770a871,,unknown,IN_TRANSIT,Kwik,,,2026-02-23 16:33:03.464568+00:00
495857680,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
723808252,,unknown,,DHL,,,2026-02-23 16:33:03.464568+00:00
730968306,,unknown,,DHL,,,2026-02-23 16:33:03.464568+00:00
152601697,,unknown,,DHL,,,2026-02-23 16:33:03.464568+00:00
TRK-794fa33d9c8d,,unknown,DELIVERED,DHL,2023-07-17 07:33:17+00:00,2023-07-20 03:33:00+00:00,2026-02-23 16:33:03.464568+00:00
TRK-f9f9064a909a,,unknown,CREATED,Local,2023-05-19 13:27:43+00:00,,2026-02-23 16:33:03.464568+00:00
381470951,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-fa339d4af995,,unknown,DELIVERED,DHL,2023-05-27 19:09:18+00:00,,2026-02-23 16:33:03.464568+00:00
613667541,,unknown,,Local,,,2026-02-23 16:33:03.464568+00:00
TRK-e067e9a31fdf,,unknown,IN_TRANSIT,Kwik,,,2026-02-23 16:33:03.464568+00:00
TRK-b3dc8dcd3ce1,,unknown,DELIVERED,Local,,,2026-02-23 16:33:03.464568+00:00
108670337,,unknown,,Kwik,,,2026-02-23 16:33:03.464568+00:00
843805880,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
818674008,,unknown,,GIG,,,2026-02-23 16:33:03.464568+00:00
TRK-0a3e843046b7,,unknown,IN_TRANSIT,Kwik,2023-04-30 20:04:04+00:00,,2026-02-23 16:33:03.464568+00:00
791116144,,unknown,,FedEx,,,2026-02-23 16:33:03.464568+00:00
TRK-36327602b766,,unknown,IN_TRANSIT,DHL,2023-06-07 15:48:25+00:00,,2026-02-23 16:33:03.464568+00:00
TRK-2aa50672c9bc,,unknown,DELIVERED,Kwik,,,2026-02-23 16:33:03.464568+00:00
