customer_id,first_order_date,customer_name,email,country
CUST-00002,2023-12-15 18:09:54+00:00,,,
CUST-00008,2023-01-16 17:43:21+00:00,,,
CUST-00009,2023-01-17 15:25:31+00:00,,,
CUST-00012,2023-01-28 09:24:09+00:00,,,
CUST-00018,2023-05-01 10:35:14+00:00,,,
CUST-00027,2023-07-15 16:40:55+00:00,,,
CUST-00032,2023-09-08 06:29:54+00:00,,,
CUST-00033,2023-02-09 04:29:27+00:00,,,
CUST-00035,2023-03-26 18:16:59+00:00,,,
CUST-00036,2023-01-11 23:33:43+00:00,,,
CUST-00045,2023-12-14 03:24:29+00:00,,,
CUST-00053,2023-03-20 23:14:08+00:00,,,
CUST-00057,2023-10-11 11:42:18+00:00,,,
CUST-00062,2023-04-11 23:38:53+00:00,,,
CUST-00063,2023-02-24 10:50:18+00:00,,,
CUST-00065,2023-12-24 00:44:48+00:00,,,
CUST-00067,2023-10-15 05:30:45+00:00,,,
CUST-00069,2023-01-27 00:55:57+00:00,,,
CUST-00073,2023-04-12 05:39:42+00:00,,,
CUST-00075,2023-10-21 12:41:45+00:00,,,
CUST-00079,2023-07-11 12:14:53+00:00,,,
CUST-00080,2023-02-08 20:52:34+00:00,,,
CUST-00084,2023-03-01 15:33:43+00:00,,,
CUST-00086,2023-02-25 20:02:42+00:00,,,
CUST-00087,2023-02-23 17:03:01+00:00,,,
CUST-00096,2023-01-10 06:51:35+00:00,,,
CUST-00097,2023-10-27 07:51:43+00:00,,,
CUST-00106,2023-05-04 04:25:18+00:00,,,
CUST-00114,2023-07-14 09:54:59+00:00,,,
CUST-00119,2023-08-08 14:36:07+00:00,,,
CUST-00122,2023-10-24 13:44:24+00:00,,,
CUST-00127,2023-03-13 18:14:18+00:00,,,
CUST-00130,2023-02-14 13:54:21+00:00,,,
CUST-00131,2023-11-13 09:05:10+00:00,,,
CUST-00134,2023-06-15 17:43:43+00:00,,,
CUST-00136,2023-07-18 22:17:58+00:00,,,
CUST-00138,2023-06-21 20:55:20+00:00,,,
CUST-00148,2023-04-26 03:32:49+00:00,,,
CUST-00149,2023-05-08 18:02:54+00:00,,,
CUST-00152,2023-08-31 00:28:43+00:00,,,
CUST-00155,2023-07-30 18:40:30+00:00,,,
CUST-00158,2023-03-25 22:34:10+00:00,,,
CUST-00167,2023-06-10 19:15:37+00:00,,,
CUST-00177,2023-12-19 14:59:30+00:00,,,
CUST-00181,2023-07-05 10:08:33+00:00,,,
CUST-00183,2023-09-06 21:39:27+00:00,,,
CUST-00187,2023-01-13 02:08:01+00:00,,,
CUST-00188,2023-06-01 21:13:35+00:00,,,
CUST-00189,2023-03-11 19:53:38+00:00,,,
CUST-00195,2023-01-25 02:54:21+00:00,,,
CUST-00198,2023-02-07 05:12:09+00:00,,,
CUST-00199,2023-11-29 12:58:23+00:00,,,
CUST-00202,2023-03-29 17:27:00+00:00,,,
CUST-00206,2023-03-22 23:05:42+00:00,,,
CUST-00208,2023-04-06 10:04:32+00:00,,,
CUST-00217,2023-10-18 04:05:51+00:00,,,
CUST-00219,2023-03-20 12:29:48+00:00,,,
CUST-00224,2023-09-13 23:01:55+00:00,,,
CUST-00225,2023-09-03 17:01:54+00:00,,,
CUST-00226,2023-11-09 04:13:27+00:00,,,
CUST-00228,2023-01-07 20:36:56+00:00,,,
CUST-00230,2023-12-17 13:17:38+00:00,,,
CUST-00231,2023-07-24 01:48:07+00:00,,,
CUST-00241,2023-06-10 23:39:39+00:00,,,
